,cidade,latitude,longitude
146,Alto do Rodrigues,-5.28186,-36.75
147,Alto Feliz,-29.3919,-51.3123
148,Alto Garças,-16.9462,-53.5272
149,Alto Horizonte,-14.1978,-49.3378
150,Alto Jequitibá,-20.4208,-41.967
151,Alto Longá,-5.25634,-42.2096
152,Alto Paraguai,-14.5137,-56.4776
153,Alto Paraíso,-26.1146,-52.7469
154,Alto Paraíso,-9.71429,-63.3188
155,Alto Paraíso de Goiás,-14.1305,-47.51
156,Alto Paraná,-23.1312,-52.3189
157,Alto Parnaíba,-9.10273,-45.9303
158,Alto Piquiri,-24.0224,-53.44
159,Alto Rio Doce,-21.0281,-43.4067
160,Alto Rio Novo,-19.0618,-41.0209
161,Alto Santo,-5.50894,-38.2743
162,Alto Taquari,-17.8241,-53.2792
163,Altônia,-23.8759,-53.8958
164,Altos,-5.038880000000002,-42.4612
165,Alumínio,-23.5306,-47.2546
166,Alvarães,-3.22727,-64.8007
167,Alvarenga,-19.4174,-41.7317
168,Álvares Florence,-20.3203,-49.9141
169,Álvares Machado,-22.0764,-51.4722
170,Álvaro de Carvalho,-22.0841,-49.719
171,Alvinlândia,-22.4435,-49.7623
172,Alvinópolis,-20.1098,-43.0535
173,Alvorada D'Oeste,-11.3463,-62.2847
174,Alvorada de Minas,-18.7334,-43.3638
175,Alvorada do Gurguéia,-8.42418,-43.777
176,Alvorada do Norte,-14.4797,-46.49100000000001
177,Alvorada do Sul,-22.7813,-51.2297
178,Amajari,3.64571,-61.3692
179,Amambai,-23.1058,-55.2253
180,Amapá,2.05267,-50.7957
181,Amapá do Maranhão,-1.67524,-46.0024
182,Amaporã,-23.0943,-52.7866
183,Amaraji,-8.37691,-35.4501
184,Amaral Ferrador,-30.8756,-52.2509
185,Amaralina,-13.9236,-49.2962
186,Amarante,-6.2430400000000015,-42.8433
187,Amarante do Maranhão,-5.56913,-46.7473
188,Amargosa,-13.0215,-39.602
189,Amaturá,-3.37455,-68.2005
190,Amélia Rodrigues,-12.3914,-38.7563
191,América Dourada,-11.4429,-41.43899999999999
192,Americana,-22.7374,-47.3331
193,Americano do Brasil,-16.2514,-49.9831
194,Américo Brasiliense,-21.7288,-48.1147
195,Américo de Campos,-20.2985,-49.7359
196,Ametista do Sul,-27.3607,-53.183
197,Amontada,-3.36017,-39.8288
198,Amorinópolis,-16.6151,-51.0919
199,Amparo,-7.55502,-37.0628
200,Amparo,-22.7088,-46.772
201,Amparo de São Francisco,-10.1348,-36.935
202,Amparo do Serra,-20.5051,-42.8009
203,Ampére,-25.9168,-53.4686
204,Anadia,-9.68489,-36.3078
205,Anagé,-14.6151,-41.1356
206,Anahy,-24.6449,-53.1332
207,Anajás,-0.996811,-49.9354
208,Anajatuba,-3.26269,-44.6126
209,Analândia,-22.1289,-47.6619
210,Anamã,-3.5669699999999995,-61.3963
211,Ananás,-6.36437,-48.0735
212,Anapu,-3.46985,-51.2003
213,Anapurus,-3.67577,-43.1014
214,Anastácio,-20.4823,-55.8104
215,Anaurilândia,-22.1852,-52.7191
216,Anchieta,-26.5382,-53.3319
217,Anchieta,-20.7955,-40.6425
218,Andaraí,-12.8049,-41.3297
219,Andirá,-23.0533,-50.2304
220,Andorinha,-10.3482,-39.8391
221,Andradas,-22.0695,-46.5724
222,Andradina,-20.8948,-51.3786
223,André da Rocha,-28.6283,-51.5797
224,Andrelândia,-21.7411,-44.3117
225,Angatuba,-23.4917,-48.4139
226,Angelândia,-17.7279,-42.2641
227,Angélica,-22.1527,-53.7708
228,Angelim,-8.88429,-36.2902
229,Angelina,-27.5704,-48.9879
230,Angical,-12.0063,-44.7003
231,Angical do Piauí,-6.08786,-42.74
232,Angico,-6.39179,-47.8611
233,Angicos,-5.65792,-36.6094
234,Angra dos Reis,-23.0011,-44.3196
235,Anguera,-12.1462,-39.2462
236,Ângulo,-23.1946,-51.9154
237,Anhanguera,-18.3339,-48.2204
238,Anhembi,-22.793000000000006,-48.1336
239,Anhumas,-22.2934,-51.3895
240,Anicuns,-16.4642,-49.9617
241,Anísio de Abreu,-9.18564,-43.0494
242,Anita Garibaldi,-27.6897,-51.1271
243,Anitápolis,-27.9012,-49.1316
244,Antas,-10.3856,-38.3401
245,Antonina,-25.4386,-48.7191
246,Antonina do Norte,-6.769189999999999,-39.987
247,Antônio Almeida,-7.21276,-44.1889
248,Antônio Cardoso,-12.4335,-39.1176
249,Antônio Dias,-19.6491,-42.8732
250,Antônio Gonçalves,-10.5767,-40.2785
251,Antônio João,-22.1927,-55.9517
252,Antônio Martins,-6.21367,-37.8834
253,Antônio Olinto,-25.9804,-50.1972
254,Antônio Prado,-28.8565,-51.2883
255,Antônio Prado de Minas,-21.0192,-42.1109
256,Aparecida,-6.7846600000000015,-38.0803
257,Aparecida,-22.8495,-45.2325
258,Aparecida d'Oeste,-20.4487,-50.8835
259,Aparecida do Rio Doce,-18.2941,-51.1516
260,Aparecida do Rio Negro,-9.94139,-47.9638
261,Aparecida do Taboado,-20.0873,-51.0961
262,Aperibé,-21.6252,-42.1017
263,Apiacá,-21.1523,-41.5693
264,Apiacás,-9.53981,-57.4587
265,Apiaí,-24.5108,-48.8443
266,Apicum-Açu,-1.45862,-45.0864
267,Apiúna,-27.0375,-49.3885
268,Aporá,-11.6577,-38.0814
269,Aporé,-18.9607,-51.9232
270,Apuarema,-13.8542,-39.7501
271,Apucarana,-23.55,-51.4635
272,Apuí,-7.194089999999999,-59.896
273,Apuiarés,-3.94506,-39.4359
274,Aquidabã,-10.278,-37.0148
275,Aquidauana,-20.4666,-55.7868
276,Arabutã,-27.1587,-52.1423
277,Araçagi,-6.84374,-35.3737
278,Araçaí,-19.1955,-44.2493
279,Araçariguama,-23.4366,-47.0608
280,Araças,-12.22,-38.2027
281,Aracati,-4.55826,-37.7679
282,Aracatu,-14.428,-41.4648
283,Araçatuba,-21.2076,-50.4401
284,Araci,-11.3253,-38.9584
285,Aracitaba,-21.3446,-43.3736
286,Araçoiaba,-7.78391,-35.0809
287,Aracoiaba,-4.36872,-38.8125
288,Araçoiaba da Serra,-23.5029,-47.6166
289,Aracruz,-19.82,-40.2764
290,Araçu,-16.3563,-49.6804
291,Araçuaí,-16.8523,-42.0637
292,Aragarças,-15.8955,-52.2372
293,Aragoiânia,-16.9087,-49.4476
294,Aragominas,-7.16005,-48.5291
295,Araguacema,-8.80755,-49.5569
296,Araguaçu,-12.9289,-49.8231
297,Araguaiana,-15.7291,-51.8341
298,Araguainha,-16.857,-53.0318
299,Araguanã,-6.58225,-48.6395
300,Araguanã,-2.94644,-45.6589
301,Araguapaz,-15.0909,-50.6315
302,Araguari,-18.6456,-48.1934
303,Araguatins,-5.64659,-48.1232
304,Araioses,-2.89091,-41.905
305,Aral Moreira,-22.9385,-55.6334
306,Aramari,-12.0884,-38.4969
307,Arambaré,-30.9092,-51.5046
308,Arame,-4.88347,-46.0032
309,Aramina,-20.0882,-47.7873
310,Arandu,-23.1386,-49.0487
311,Arantina,-21.9102,-44.2555
312,Arapeí,-22.6717,-44.4441
313,Arapiraca,-9.75487,-36.6615
314,Arapoema,-7.65463,-49.0637
315,Araponga,-20.6686,-42.5178
316,Arapongas,-23.4153,-51.4259
317,Araporã,-18.4357,-49.1847
318,Arapoti,-24.1548,-49.8285
319,Arapuã,-24.3132,-51.7856
320,Arapuá,-19.0268,-46.1484
321,Araputanga,-15.4641,-58.3425
322,Araquari,-26.3754,-48.7188
323,Arara,-6.828130000000002,-35.7552
324,Araranguá,-28.9356,-49.4918
325,Araraquara,-21.7845,-48.178
326,Araras,-22.3572,-47.3842
327,Ararendá,-4.74567,-40.831
328,Arari,-3.45214,-44.7665
329,Araricá,-29.6168,-50.9291
330,Araripe,-7.213189999999999,-40.1359
331,Araripina,-7.57073,-40.494
332,Araruama,-22.8697,-42.3326
333,Araruna,-23.9315,-52.5021
334,Araruna,-6.5484800000000005,-35.7498
335,Arataca,-15.2651,-39.419
336,Aratiba,-27.3978,-52.2975
337,Aratuba,-4.4122900000000005,-39.0471
338,Aratuípe,-13.0716,-39.0038
339,Arauá,-11.2614,-37.6201
340,Araucária,-25.5859,-49.4047
341,Araújos,-19.9405,-45.1671
342,Araxá,-19.5902,-46.9438
343,Arceburgo,-21.359,-46.9401
344,Arco-Íris,-21.7728,-50.466
345,Arcos,-20.2863,-45.5373
346,Arcoverde,-8.415189999999999,-37.0577
347,Areado,-21.3572,-46.1421
348,Areal,-22.2283,-43.1118
349,Arealva,-22.031,-48.9135
350,Areia,-6.96396,-35.6977
351,Areia Branca,-4.95254,-37.1252
352,Areia Branca,-10.758,-37.3251
353,Areia de Baraúnas,-7.11702,-36.9404
354,Areial,-7.04789,-35.9313
355,Areias,-22.5786,-44.6992
356,Areiópolis,-22.6672,-48.6681
357,Arenápolis,-14.4472,-56.8437
358,Arenópolis,-16.3837,-51.5563
359,Arês,-6.18831,-35.1608
360,Argirita,-21.6083,-42.8292
361,Aricanduva,-17.8666,-42.5533
362,Arinos,-15.9187,-46.1043
363,Aripuanã,-10.1723,-59.4568
364,Ariquemes,-9.90571,-63.0325
365,Ariranha,-21.1872,-48.7904
366,Ariranha do Ivaí,-24.3857,-51.5839
367,Armação dos Búzios,-22.7528,-41.8846
368,Armazém,-28.2448,-49.0215
369,Arneiroz,-6.3165,-40.1653
370,Aroazes,-6.11022,-41.7822
371,Aroeiras,-7.54473,-35.7066
372,Aroeiras do Itaim,-7.2450199999999985,-41.5325
373,Arraial,-6.65075,-42.5418
374,Arraial do Cabo,-22.9774,-42.0267
375,Arraias,-12.9287,-46.9359
376,Arroio do Meio,-29.4014,-51.9557
377,Arroio do Padre,-31.4389,-52.4246
378,Arroio do Sal,-29.5439,-49.8895
379,Arroio do Tigre,-29.3348,-53.0966
380,Arroio dos Ratos,-30.0875,-51.7275
381,Arroio Grande,-32.2327,-53.0862
382,Arroio Trinta,-26.9257,-51.3407
383,Artur Nogueira,-22.5727,-47.1727
384,Aruanã,-14.9166,-51.075
385,Arvoredo,-27.0748,-52.4543
386,Arvorezinha,-28.8737,-52.1781
387,Ascurra,-26.9548,-49.3783
388,Aspásia,-20.16,-50.728
389,Assaí,-23.3697,-50.8459
390,Assaré,-6.8669,-39.8689
391,Assis,-22.66,-50.4183
392,Assis Brasil,-10.9298,-69.5738
393,Assis Chateaubriand,-24.4168,-53.5213
394,Assunção,-7.072310000000001,-36.725
395,Assunção do Piauí,-5.865,-41.0389
396,Astolfo Dutra,-21.3184,-42.8572
397,Astorga,-23.2318,-51.6668
398,Atalaia,-23.1517,-52.0551
399,Atalaia,-9.5119,-36.0086
400,Atalaia do Norte,-4.37055,-70.1967
401,Atalanta,-27.4219,-49.7789
402,Ataléia,-18.0438,-41.1149
403,Atibaia,-23.1171,-46.5563
404,Atilio Vivacqua,-20.913,-41.1986
405,Augustinópolis,-5.46863,-47.8863
406,Augusto Corrêa,-1.05109,-46.6147
407,Augusto de Lima,-18.0997,-44.2655
408,Augusto Pestana,-28.5172,-53.9883
409,Augusto Severo (Campo Grande),-5.86206,-37.3135
410,Áurea,-27.6936,-52.0505
411,Aurelino Leal,-14.321,-39.329
412,Auriflama,-20.6836,-50.5572
413,Aurilândia,-16.6773,-50.4641
414,Aurora,-6.933489999999999,-38.9742
415,Aurora,-27.3098,-49.6295
416,Aurora do Pará,-2.14898,-47.5677
417,Aurora do Tocantins,-12.7105,-46.4076
418,Autazes,-3.58574,-59.1256
419,Avaí,-22.1514,-49.3356
420,Avanhandava,-21.4584,-49.9509
421,Avaré,-23.1067,-48.9251
422,Aveiro,-3.60841,-55.3199
423,Avelino Lopes,-10.1345,-43.9563
424,Avelinópolis,-16.4672,-49.7579
425,Axixá,-2.8393900000000003,-44.062
426,Axixá do Tocantins,-5.61275,-47.7701
427,Babaçulândia,-7.209230000000002,-47.7613
428,Bacabal,-4.224469999999998,-44.7832
429,Bacabeira,-2.9645200000000003,-44.3164
430,Bacuri,-1.6965,-45.1328
431,Bacurituba,-2.71,-44.7329
432,Bady Bassitt,-20.9197,-49.4385
433,Baependi,-21.957,-44.8874
434,Bagre,-1.90057,-50.1987
435,Baía da Traição,-6.6920899999999985,-34.9381
436,Baía Formosa,-6.37161,-35.0033
437,Baianópolis,-12.3016,-44.5388
438,Baião,-2.79021,-49.6694
439,Baixa Grande,-11.9519,-40.169
440,Baixa Grande do Ribeiro,-7.84903,-45.219
441,Baixio,-6.71945,-38.7134
442,Baixo Guandu,-19.5213,-41.0109
443,Balbinos,-21.8963,-49.3619
444,Baldim,-19.2832,-43.9613
445,Baliza,-16.1966,-52.5393
446,Balneário Barra do Sul,-26.4597,-48.6123
447,Balneário Gaivota,-29.1527,-49.5841
448,Balneário Piçarras,-26.7639,-48.6717
449,Balneário Pinhal,-30.2419,-50.2337
450,Balneário Rincão,-28.8314,-49.2352
451,Balsa Nova,-25.5804,-49.6291
452,Bálsamo,-20.7348,-49.5865
453,Balsas,-7.532139999999999,-46.0372
454,Bambuí,-20.0166,-45.9754
455,Banabuiú,-5.30454,-38.9132
456,Bananal,-22.6819,-44.3281
457,Bananeiras,-6.74775,-35.6246
458,Bandeira,-15.8783,-40.5622
459,Bandeira do Sul,-21.7308,-46.3833
460,Bandeirante,-26.7705,-53.6413
461,Bandeirantes,-19.9275,-54.3585
462,Bandeirantes,-23.1078,-50.3704
463,Bandeirantes do Tocantins,-7.75612,-48.5836
464,Bannach,-7.34779,-50.3959
465,Banzaê,-10.5788,-38.6212
466,Barão,-29.3725,-51.4949
467,Barão de Antonina,-23.6284,-49.5634
468,Barão de Cocais,-19.9389,-43.4755
469,Barão de Cotegipe,-27.6208,-52.3798
470,Barão de Grajaú,-6.74463,-43.0261
471,Barão de Melgaço,-16.2067,-55.9623
472,Barão de Monte Alto,-21.2444,-42.2372
473,Barão do Triunfo,-30.3891,-51.7384
474,Baraúna,-5.06977,-37.6129
475,Baraúna,-6.63484,-36.2601
476,Barbacena,-21.2214,-43.7703
477,Barbalha,-7.2982,-39.3021
478,Barbosa,-21.2657,-49.9518
479,Barbosa Ferraz,-24.0334,-52.004
480,Barcarena,-1.51187,-48.6195
481,Barcelona,-5.94284,-35.9247
482,Barcelos,-0.983373,-62.9311
483,Bariri,-22.073,-48.7438
484,Barra,-11.0859,-43.1459
485,Barra Bonita,-26.654,-53.44
486,Barra Bonita,-22.4909,-48.5583
487,Barra D'Alcântara,-6.51645,-42.1146
488,Barra da Estiva,-13.6237,-41.3347
489,Barra de Guabiraba,-8.42075,-35.6585
490,Barra de Santa Rosa,-6.718160000000001,-36.0671
491,Barra de Santana,-7.518089999999999,-35.9913
492,Barra de Santo Antônio,-9.4023,-35.5101
493,Barra de São Francisco,-18.7548,-40.8965
494,Barra de São Miguel,-7.74603,-36.3209
495,Barra de São Miguel,-9.83842,-35.9057
496,Barra do Bugres,-15.0702,-57.1878
497,Barra do Chapéu,-24.4722,-49.0238
498,Barra do Choça,-14.8654,-40.5791
499,Barra do Corda,-5.49682,-45.2485
500,Barra do Garças,-15.8804,-52.264
501,Barra do Guarita,-27.1927,-53.7109
502,Barra do Jacaré,-23.116,-50.1842
503,Barra do Mendes,-11.81,-42.059
504,Barra do Ouro,-7.6959300000000015,-47.6776
505,Barra do Piraí,-22.4715,-43.8269
506,Barra do Quaraí,-30.2029,-57.5497
507,Barra do Ribeiro,-30.2939,-51.3014
508,Barra do Rio Azul,-27.4069,-52.4084
509,Barra do Rocha,-14.2,-39.5991
510,Barra do Turvo,-24.759,-48.5013
511,Barra dos Coqueiros,-10.8996,-37.0323
512,Barra Funda,-27.9205,-53.0391
513,Barra Longa,-20.2869,-43.0402
514,Barra Velha,-26.637,-48.6933
515,Barracão,-27.6739,-51.4585
516,Barracão,-26.2502,-53.6324
517,Barras,-4.244680000000002,-42.2922
518,Barreira,-4.28921,-38.6429
519,Barreiras do Piauí,-9.9296,-45.4702
520,Barreirinha,-2.79886,-57.0679
521,Barreirinhas,-2.75863,-42.8232
522,Barreiros,-8.81605,-35.1832
523,Barretos,-20.5531,-48.5698
524,Barrinha,-21.1864,-48.1636
525,Barro,-7.171880000000002,-38.7741
526,Barro Alto,-11.7605,-41.9054
527,Barro Alto,-14.9658,-48.9086
528,Barro Duro,-5.8167300000000015,-42.5147
529,Barro Preto,-14.7948,-39.476
530,Barrocas,-11.5272,-39.0776
531,Barrolândia,-9.83404,-48.7252
532,Barroquinha,-3.02051,-41.1358
533,Barros Cassal,-29.0947,-52.5836
534,Barroso,-21.1907,-43.972
535,Bastos,-21.921,-50.7357
536,Bataguassu,-21.7159,-52.4221
537,Batalha,-4.0223,-42.0787
538,Batalha,-9.6742,-37.133
539,Batatais,-20.8929,-47.5921
540,Baturité,-4.32598,-38.8812
541,Bauru,-22.3246,-49.0871
542,Bayeux,-7.1238,-34.9293
543,Bebedouro,-20.9491,-48.4791
544,Beberibe,-4.17741,-38.1271
545,Bela Cruz,-3.04996,-40.1671
546,Bela Vista,-22.1073,-56.5263
547,Bela Vista da Caroba,-25.8842,-53.6725
548,Bela Vista de Goiás,-16.9693,-48.9513
549,Bela Vista de Minas,-19.8302,-43.0922
550,Bela Vista do Maranhão,-3.72618,-45.3075
551,Bela Vista do Paraíso,-22.9937,-51.1927
552,Bela Vista do Piauí,-7.98809,-41.8675
553,Bela Vista do Toldo,-26.2746,-50.4664
554,Belágua,-3.15485,-43.5122
555,Belém de Maria,-8.62504,-35.8335
556,Belém do Brejo do Cruz,-6.18515,-37.5348
557,Belém do Piauí,-7.366519999999999,-40.9688
558,Belém do São Francisco,-8.75046,-38.9623
559,Belmiro Braga,-21.944000000000006,-43.4084
560,Belmonte,-26.843000000000004,-53.5758
561,Belmonte,-15.8608,-38.8758
562,Belo Campo,-15.0334,-41.2652
563,Belo Monte,-9.82272,-37.277
564,Belo Oriente,-19.2199,-42.4828
565,Belo Vale,-20.4077,-44.0275
566,Belterra,-2.6360900000000003,-54.9374
567,Beneditinos,-5.45676,-42.3638
568,Benedito Leite,-7.210369999999998,-44.5577
569,Benedito Novo,-26.781,-49.3593
570,Benevides,-1.36183,-48.2434
571,Benjamin Constant,-4.377680000000002,-70.0342
572,Benjamin Constant do Sul,-27.5086,-52.5995
573,Bento de Abreu,-21.2686,-50.81399999999999
574,Bento Fernandes,-5.69906,-35.813
575,Bequimão,-2.44162,-44.7842
576,Berilo,-16.9567,-42.4606
577,Berizal,-15.61,-41.7432
578,Bernardino Batista,-6.44572,-38.5521
579,Bernardino de Campos,-23.0164,-49.4679
580,Bernardo do Mearim,-4.62666,-44.7608
581,Bernardo Sayão,-7.874810000000001,-48.8893
582,Bertioga,-23.8486,-46.1396
583,Bertolínia,-7.633380000000002,-43.9498
584,Bertópolis,-17.059,-40.58
585,Beruri,-3.89874,-61.3616
586,Betânia,-8.26787,-38.0345
587,Betânia do Piauí,-8.14376,-40.7989
588,Bezerros,-8.2328,-35.796
589,Bias Fortes,-21.602,-43.7574
590,Bicas,-21.7232,-43.056
591,Biguaçu,-27.496,-48.6598
592,Bilac,-21.404,-50.4746
593,Biquinhas,-18.7754,-45.4974
594,Birigui,-21.291,-50.3432
595,Biritiba-Mirim,-23.5698,-46.0407
596,Biritinga,-11.6072,-38.8051
