,cidade,latitude,longitude
1300,Coromandel,-18.4734,-47.1933
1301,Coronel Barros,-28.3921,-54.0686
1302,Coronel Bicaco,-27.7197,-53.7022
1303,Coronel Domingos Soares,-26.2277,-52.0356
1304,Coronel Ezequiel,-6.3748,-36.2223
1305,Coronel Freitas,-26.9057,-52.7011
1306,Coronel João Pessoa,-6.24974,-38.4441
1307,Coronel João Sá,-10.2847,-37.9198
1308,Coronel José Dias,-8.81397,-42.5232
1309,Coronel Macedo,-23.6261,-49.31
1310,Coronel Martins,-26.511,-52.6694
1311,Coronel Murta,-16.6148,-42.184
1312,Coronel Pacheco,-21.5898,-43.256
1313,Coronel Pilar,-29.2695,-51.6847
1314,Coronel Sapucaia,-23.2724,-55.5278
1315,Coronel Vivida,-25.9767,-52.5641
1316,Coronel Xavier Chaves,-21.0277,-44.2206
1317,Córrego Danta,-19.8198,-45.9032
1318,Córrego do Bom Jesus,-22.6269,-46.0241
1319,Córrego do Ouro,-16.2918,-50.5503
1320,Córrego Fundo,-20.4474,-45.5617
1321,Córrego Novo,-19.8361,-42.3988
1322,Correia Pinto,-27.5877,-50.3614
1323,Corrente,-10.4333,-45.1633
1324,Correntes,-9.12117,-36.3244
1325,Correntina,-13.3477,-44.6333
1326,Cortês,-8.47443,-35.5468
1327,Corumbá,-19.0077,-57.651
1328,Corumbá de Goiás,-15.9245,-48.8117
1329,Corumbaíba,-18.1415,-48.5626
1330,Corumbataí,-22.2213,-47.6215
1331,Corumbataí do Sul,-24.101,-52.1177
1332,Corumbiara,-12.9551,-60.8947
1333,Corupá,-26.4246,-49.246
1334,Coruripe,-10.1276,-36.1717
1335,Cosmópolis,-22.6419,-47.1926
1336,Cosmorama,-20.4755,-49.7827
1337,Costa Marques,-12.4367,-64.22800000000001
1338,Costa Rica,-18.5432,-53.1287
1339,Cotegipe,-12.0228,-44.2566
1340,Cotiporã,-28.9891,-51.6971
1341,Cotriguaçu,-9.85656,-58.4192
1342,Couto de Magalhães de Minas,-18.0727,-43.4648
1343,Couto Magalhães,-8.28411,-49.2473
1344,Coxilha,-28.128,-52.3023
1345,Coxim,-18.5013,-54.75100000000001
1346,Coxixola,-7.62365,-36.6064
1347,Craíbas,-9.6178,-36.7697
1348,Crateús,-5.167680000000002,-40.6536
1349,Crato,-7.2153,-39.4103
1350,Cravinhos,-21.338,-47.7324
1351,Cravolândia,-13.3531,-39.8031
1352,Crisólita,-17.2381,-40.9184
1353,Crisópolis,-11.5059,-38.1515
1354,Crissiumal,-27.4999,-54.0994
1355,Cristais,-20.8733,-45.5167
1356,Cristais Paulista,-20.4036,-47.4209
1357,Cristal,-31.0046,-52.0436
1358,Cristal do Sul,-27.452,-53.2422
1359,Cristalândia,-10.5985,-49.1942
1360,Cristalândia do Piauí,-10.6443,-45.1893
1361,Cristália,-16.715999999999998,-42.8571
1362,Cristalina,-16.7676,-47.6131
1363,Cristiano Otoni,-20.8324,-43.8166
1364,Cristianópolis,-17.1987,-48.7034
1365,Cristina,-22.208,-45.2673
1366,Cristinápolis,-11.4668,-37.7585
1367,Cristino Castro,-8.82273,-44.223
1368,Cristópolis,-12.2249,-44.4214
1369,Crixás,-14.5412,-49.974
1370,Crixás do Tocantins,-11.0994,-48.9152
1371,Croatá,-4.40481,-40.9022
1372,Cromínia,-17.2883,-49.3798
1373,Crucilândia,-20.3923,-44.3334
1374,Cruz,-2.91813,-40.176
1375,Cruz Alta,-28.645,-53.6048
1376,Cruz das Almas,-12.6675,-39.1008
1377,Cruz do Espírito Santo,-7.13902,-35.0857
1378,Cruz Machado,-26.0166,-51.343
1379,Cruzália,-22.7373,-50.7909
1380,Cruzaltense,-27.6672,-52.6522
1381,Cruzeiro,-22.5728,-44.969
1382,Cruzeiro da Fortaleza,-18.944000000000006,-46.6669
1383,Cruzeiro do Iguaçu,-25.6192,-53.1285
1384,Cruzeiro do Oeste,-23.7799,-53.0774
1385,Cruzeta,-6.40894,-36.7782
1386,Cruzília,-21.84,-44.8067
1387,Cruzmaltina,-24.0132,-51.4563
1388,Cubatão,-23.8911,-46.424
1389,Cubati,-6.866860000000001,-36.3619
1390,Cuité,-6.47647,-36.1515
1391,Cuité de Mamanguape,-6.91292,-35.2502
1392,Cuitegi,-6.89058,-35.5215
1393,Cujubim,-9.36065,-62.5846
1394,Cumari,-18.2644,-48.1511
1395,Cumaru,-8.00827,-35.6957
1396,Cumaru do Norte,-7.810969999999998,-50.7698
1397,Cumbe,-10.352,-37.1846
1398,Cunha,-23.0731,-44.9576
1399,Cunha Porã,-26.895,-53.1662
1400,Cunhataí,-26.9709,-53.0895
1401,Cuparaque,-18.9648,-41.0986
1402,Cupira,-8.624319999999999,-35.9518
1403,Curaçá,-8.984580000000003,-39.8997
1404,Curimatá,-10.0326,-44.3002
1405,Curionópolis,-6.09965,-49.6068
1406,Curitibanos,-27.2824,-50.5816
1407,Curiúva,-24.0362,-50.4576
1408,Currais,-9.01175,-44.4062
1409,Currais Novos,-6.25484,-36.5146
1410,Curral de Cima,-6.72325,-35.2639
1411,Curral de Dentro,-15.9327,-41.8557
1412,Curral Novo do Piauí,-7.8313,-40.8957
1413,Curral Velho,-7.53075,-38.1962
1414,Curralinho,-1.81179,-49.7952
1415,Curralinhos,-5.60825,-42.8376
1416,Curuá,-1.88775,-55.1168
1417,Curuçá,-0.733214,-47.8515
1418,Cururupu,-1.81475,-44.8644
1419,Curvelândia,-15.6084,-57.9133
1420,Curvelo,-18.7527,-44.4303
1421,Custódia,-8.085460000000001,-37.6443
1422,Cutias,0.970761,-50.8005
1423,Damianópolis,-14.5604,-46.178
1424,Damião,-6.63161,-35.9101
1425,Damolândia,-16.2544,-49.3631
1426,Darcinópolis,-6.715910000000001,-47.7597
1427,Dário Meira,-14.4229,-39.9031
1428,Datas,-18.4478,-43.6591
1429,David Canabarro,-28.3849,-51.8482
1430,Davinópolis,-5.54637,-47.4217
1431,Davinópolis,-18.1501,-47.5568
1432,Delfim Moreira,-22.5036,-45.2792
1433,Delfinópolis,-20.3468,-46.8456
1434,Delmiro Gouveia,-9.38534,-37.9987
1435,Delta,-19.9721,-47.7841
1436,Demerval Lobão,-5.35875,-42.6776
1437,Denise,-14.7324,-57.0583
1438,Deodápolis,-22.2763,-54.1682
1439,Deputado Irapuan Pinheiro,-5.91485,-39.257
1440,Derrubadas,-27.2642,-53.8645
1441,Descalvado,-21.9002,-47.6181
1442,Descanso,-26.827,-53.5034
1443,Descoberto,-21.46,-42.9618
1444,Desterro,-7.287000000000001,-37.0925
1445,Desterro de Entre Rios,-20.665,-44.3334
1446,Desterro do Melo,-21.143,-43.5178
1447,Dezesseis de Novembro,-28.219,-55.0617
1448,Diamante,-7.41738,-38.2615
1449,Diamante D'Oeste,-24.9419,-54.1052
1450,Diamante do Norte,-22.655,-52.8617
1451,Diamante do Sul,-25.035,-52.6768
1452,Diamantina,-18.2413,-43.6031
1453,Diamantino,-14.4037,-56.4366
1454,Dianópolis,-11.624,-46.8198
1455,Dias d'Ávila,-12.6187,-38.2926
1456,Dilermando de Aguiar,-29.7054,-54.2122
1457,Diogo de Vasconcelos,-20.4879,-43.1953
1458,Dionísio,-19.8433,-42.7701
1459,Dionísio Cerqueira,-26.2648,-53.6351
1460,Diorama,-16.2329,-51.2543
1461,Dirce Reis,-20.4642,-50.6073
1462,Dirceu Arcoverde,-9.33939,-42.4348
1463,Divina Pastora,-10.6782,-37.1506
1464,Divinésia,-20.9917,-43.0003
1465,Divino,-20.6134,-42.1438
1466,Divino das Laranjeiras,-18.7755,-41.4781
1467,Divino de São Lourenço,-20.6229,-41.6937
1468,Divinolândia,-21.6637,-46.7361
1469,Divinolândia de Minas,-18.8004,-42.6103
1470,Divinópolis de Goiás,-13.2853,-46.3999
1471,Divinópolis do Tocantins,-9.80018,-49.2169
1472,Divisa Alegre,-15.7221,-41.3463
1473,Divisa Nova,-21.5092,-46.1904
1474,Divisópolis,-15.7254,-40.9997
1475,Dobrada,-21.5155,-48.3935
1476,Dois Córregos,-22.3673,-48.3819
1477,Dois Irmãos das Missões,-27.6621,-53.5304
1478,Dois Irmãos do Buriti,-20.6848,-55.2915
1479,Dois Irmãos do Tocantins,-9.25534,-49.0638
1480,Dois Lajeados,-28.983,-51.8396
1481,Dois Riachos,-9.38465,-37.0965
1482,Dois Vizinhos,-25.7407,-53.057
1483,Dolcinópolis,-20.124,-50.5149
1484,Dom Aquino,-15.8099,-54.9223
1485,Dom Basílio,-13.7565,-41.7677
1486,Dom Bosco,-16.652,-46.2597
1487,Dom Cavati,-19.3735,-42.1121
1488,Dom Eliseu,-4.19944,-47.8245
1489,Dom Expedito Lopes,-6.95332,-41.6396
1490,Dom Feliciano,-30.7004,-52.1026
1491,Dom Inocêncio,-9.00516,-41.9697
1492,Dom Joaquim,-18.961,-43.2544
1493,Dom Macedo Costa,-12.9016,-39.1923
1494,Dom Pedro,-5.03518,-44.4409
1495,Dom Pedro de Alcântara,-29.3639,-49.853
1496,Dom Silvério,-20.1627,-42.9627
1497,Dom Viçoso,-22.2511,-45.1643
1498,Domingos Martins,-20.3603,-40.6594
1499,Domingos Mourão,-4.2495,-41.2683
1500,Dona Emma,-26.981,-49.7261
1501,Dona Eusébia,-21.319000000000006,-42.807
1502,Dona Francisca,-29.6195,-53.3617
1503,Dona Inês,-6.615660000000001,-35.6205
1504,Dores de Campos,-21.1139,-44.0207
1505,Dores de Guanhães,-19.0516,-42.9254
1506,Dores do Indaiá,-19.4628,-45.5927
1507,Dores do Rio Preto,-20.6931,-41.8405
1508,Dores do Turvo,-20.9785,-43.1834
1509,Doresópolis,-20.2868,-45.9007
1510,Dormentes,-8.44116,-40.7662
1511,Douradina,-22.0405,-54.6158
1512,Douradina,-23.3807,-53.2918
1513,Dourado,-22.1044,-48.3178
1514,Douradoquara,-18.4338,-47.5993
1515,Doutor Camargo,-23.5582,-52.2178
1516,Doutor Maurício Cardoso,-27.5103,-54.3577
1517,Doutor Pedrinho,-26.7174,-49.4795
1518,Doutor Ricardo,-29.084,-51.9972
1519,Doutor Severiano,-6.08082,-38.3794
1520,Doutor Ulysses,-24.5665,-49.4219
1521,Doverlândia,-16.7188,-52.3189
1522,Dracena,-21.4843,-51.535
1523,Duartina,-22.4146,-49.4084
1524,Duas Barras,-22.0536,-42.5232
1525,Duas Estradas,-6.684989999999999,-35.418
1526,Dueré,-11.3416,-49.2716
1527,Dumont,-21.2324,-47.9756
1528,Duque Bacelar,-4.15002,-42.9477
1529,Durandé,-20.2058,-41.7977
1530,Echaporã,-22.4326,-50.2038
1531,Ecoporanga,-18.3702,-40.836
1532,Edealina,-17.4239,-49.6644
1533,Edéia,-17.3406,-49.9295
1534,Eirunepé,-6.65677,-69.8662
1535,Eldorado,-23.7868,-54.2838
1536,Eldorado,-24.5281,-48.1141
1537,Eldorado do Carajás,-6.10389,-49.3553
1538,Elesbão Veloso,-6.19947,-42.1355
1539,Elias Fausto,-23.0428,-47.3682
1540,Eliseu Martins,-8.09629,-43.6705
1541,Elisiário,-21.1678,-49.1146
1542,Elísio Medrado,-12.9417,-39.5191
1543,Elói Mendes,-21.6088,-45.5691
1544,Emas,-7.099639999999999,-37.7163
1545,Embaúba,-20.9796,-48.8325
1546,Embu-Guaçu,-23.8297,-46.8136
1547,Emilianópolis,-21.8314,-51.4832
1548,Encantado,-29.2351,-51.8703
1549,Encanto,-6.10691,-38.3033
1550,Encruzilhada,-15.5302,-40.9124
1551,Encruzilhada do Sul,-30.543000000000006,-52.5204
1552,Enéas Marques,-25.9445,-53.1659
1553,Engenheiro Beltrão,-23.797,-52.2659
1554,Engenheiro Caldas,-19.2065,-42.0503
1555,Engenheiro Coelho,-22.4836,-47.21100000000001
1556,Engenheiro Navarro,-17.2831,-43.947
1557,Engenheiro Paulo de Frontin,-22.5498,-43.6827
1558,Engenho Velho,-27.706,-52.9145
1559,Entre Folhas,-19.6218,-42.2306
1560,Entre Rios,-11.9392,-38.0871
1561,Entre Rios,-26.7225,-52.5585
1562,Entre Rios de Minas,-20.6706,-44.0654
1563,Entre Rios do Oeste,-24.7042,-54.2385
1564,Entre Rios do Sul,-27.5298,-52.7347
1565,Entre-Ijuís,-28.3686,-54.2686
1566,Envira,-7.437889999999999,-70.0281
1567,Epitaciolândia,-11.0188,-68.7341
1568,Equador,-6.93835,-36.717
1569,Erebango,-27.8544,-52.3005
1570,Ererê,-6.02751,-38.3461
1571,Érico Cardoso,-13.4215,-42.1352
1572,Ermo,-28.9869,-49.643
1573,Ernestina,-28.4977,-52.5836
1574,Erval Grande,-27.3926,-52.574
1575,Erval Seco,-27.5443,-53.5005
1576,Erval Velho,-27.2743,-51.44300000000001
1577,Ervália,-20.8403,-42.6544
1578,Escada,-8.35672,-35.2241
1579,Esmeralda,-28.0518,-51.1933
1580,Esmeraldas,-19.764,-44.3065
1581,Espera Feliz,-20.6508,-41.9119
1582,Esperança,-7.02278,-35.8597
1583,Esperança do Sul,-27.3603,-53.9891
1584,Esperança Nova,-23.7238,-53.81100000000001
1585,Esperantina,-5.3659300000000005,-48.5378
1586,Esperantina,-3.888630000000001,-42.2324
1587,Esperantinópolis,-4.87938,-44.6926
1588,Espigão Alto do Iguaçu,-25.4216,-52.8348
1589,Espigão D'Oeste,-11.5266,-61.0252
1590,Espinosa,-14.9249,-42.809
1591,Espírito Santo,-6.33563,-35.3052
1592,Espírito Santo do Dourado,-22.0454,-45.9548
1593,Espírito Santo do Pinhal,-22.1909,-46.7477
1594,Espírito Santo do Turvo,-22.6925,-49.4341
1595,Esplanada,-11.7942,-37.9432
1596,Espumoso,-28.7286,-52.8461
1597,Estação,-27.9135,-52.2635
1598,Estância,-11.2659,-37.4484
1599,Esteio,-29.852,-51.1841
1600,Estiva,-22.4577,-46.0191
1601,Estiva Gerbi,-22.2713,-46.9481
1602,Estreito,-6.56077,-47.4431
1603,Estrela d'Oeste,-20.2875,-50.4049
1604,Estrela Dalva,-21.7412,-42.4574
1605,Estrela de Alagoas,-9.39089,-36.7644
1606,Estrela do Indaiá,-19.5169,-45.7859
1607,Estrela do Norte,-13.8665,-49.0716
1608,Estrela do Norte,-22.4859,-51.6632
1609,Estrela do Sul,-18.7399,-47.6956
1610,Estrela Velha,-29.1713,-53.1639
1611,Euclides da Cunha,-10.5078,-39.0153
1612,Euclides da Cunha Paulista,-22.5545,-52.5928
1613,Eugênio de Castro,-28.5315,-54.1506
1614,Eugenópolis,-21.1002,-42.1878
1615,Eunápolis,-16.3715,-39.5821
1616,Eusébio,-3.8925,-38.4559
1617,Ewbank da Câmara,-21.5498,-43.5068
1618,Extremoz,-5.70143,-35.3048
1619,Exu,-7.503639999999999,-39.7238
1620,Fagundes,-7.3445399999999985,-35.7931
1621,Fagundes Varela,-28.8794,-51.7014
1622,Faina,-15.4473,-50.3622
1623,Fama,-21.4089,-45.8286
1624,Faria Lemos,-20.8097,-42.0213
1625,Farias Brito,-6.9214600000000015,-39.5651
1626,Faro,-2.16805,-56.7405
1627,Farol,-24.0958,-52.6217
1628,Fartura,-23.3916,-49.5124
1629,Fartura do Piauí,-9.48342,-42.7912
1630,Fátima,-10.7603,-48.9076
1631,Fátima,-10.616,-38.2239
1632,Fátima do Sul,-22.3789,-54.5131
1633,Faxinal do Soturno,-29.5788,-53.4484
1634,Faxinal dos Guedes,-26.8451,-52.2596
1635,Faxinalzinho,-27.4238,-52.6789
1636,Fazenda Nova,-16.1834,-50.7781
1637,Fazenda Rio Grande,-25.6624,-49.3073
1638,Fazenda Vilanova,-29.5885,-51.8217
1639,Feijó,-8.170539999999999,-70.351
1640,Feira da Mata,-14.2044,-44.2744
1641,Feira Grande,-9.89859,-36.6815
1642,Feira Nova,-7.9470399999999985,-35.3801
1643,Feira Nova,-10.2616,-37.3147
1644,Feira Nova do Maranhão,-6.96508,-46.6786
1645,Felício dos Santos,-18.0755,-43.2422
1646,Felipe Guerra,-5.59274,-37.6875
1647,Felisburgo,-16.6348,-40.7605
1648,Felixlândia,-18.7507,-44.9004
1649,Feliz,-29.4527,-51.3032
1650,Feliz Deserto,-10.2935,-36.3028
1651,Feliz Natal,-12.385,-54.9227
1652,Fênix,-23.9135,-51.9805
1653,Fernandes Pinheiro,-25.4107,-50.5456
1654,Fernandes Tourinho,-19.1541,-42.0803
1655,Fernando Falcão,-6.16207,-44.8979
1656,Fernando Pedroza,-5.69096,-36.5282
1657,Fernando Prestes,-21.2661,-48.6874
1658,Fernandópolis,-20.2806,-50.2471
1659,Fernão,-22.3607,-49.5187
1660,Ferreira Gomes,0.8572559999999999,-51.1795
1661,Ferreiros,-7.44666,-35.2373
1662,Ferros,-19.2343,-43.0192
1663,Fervedouro,-20.726,-42.279
1664,Figueira,-23.8455,-50.4031
1665,Figueirão,-18.6782,-53.63800000000001
1666,Figueirópolis,-12.1312,-49.1748
1667,Figueirópolis D'Oeste,-15.4439,-58.7391
1668,Filadélfia,-7.33501,-47.4954
1669,Filadélfia,-10.7405,-40.1437
1670,Firmino Alves,-14.9823,-39.9269
1671,Firminópolis,-16.5778,-50.304
1672,Flexeiras,-9.27281,-35.7139
1673,Flor da Serra do Sul,-26.2523,-53.3092
1674,Flor do Sertão,-26.7811,-53.3505
1675,Flora Rica,-21.6727,-51.3821
1676,Floraí,-23.3178,-52.3029
1677,Florânia,-6.1226400000000005,-36.8226
1678,Floreal,-20.6752,-50.1513
1679,Flores,-7.85842,-37.9715
1680,Flores da Cunha,-29.0261,-51.1875
1681,Flores de Goiás,-14.4451,-47.0417
1682,Flores do Piauí,-7.78793,-42.918
1683,Floresta,-23.6031,-52.0807
1684,Floresta,-8.603069999999999,-38.5687
1685,Floresta Azul,-14.8629,-39.6579
1686,Floresta do Araguaia,-7.55335,-49.7125
1687,Floresta do Piauí,-7.4668199999999985,-41.7883
1688,Florestal,-19.888,-44.4318
1689,Florestópolis,-22.8623,-51.3882
1690,Floriano,-6.77182,-43.0241
1691,Floriano Peixoto,-27.8614,-52.0838
1692,Flórida,-23.0847,-51.9546
1693,Flórida Paulista,-21.6127,-51.1724
1694,Florínia,-22.868,-50.6814
1695,Fonte Boa,-2.52342,-66.0942
1696,Fontoura Xavier,-28.9817,-52.3445
1697,Formiga,-20.4618,-45.4268
1698,Formigueiro,-30.0035,-53.4959
1699,Formosa,-15.54,-47.337
1700,Formosa da Serra Negra,-6.440169999999998,-46.1916
1701,Formosa do Oeste,-24.2951,-53.3114
1702,Formosa do Rio Preto,-11.0328,-45.19300000000001
1703,Formosa do Sul,-26.6453,-52.7946
1704,Formoso,-13.6499,-48.8775
1705,Formoso,-14.9446,-46.2371
1706,Formoso do Araguaia,-11.7976,-49.5316
1707,Forquetinha,-29.3828,-52.0981
1708,Forquilha,-3.79945,-40.2634
1709,Forquilhinha,-28.7454,-49.4785
1710,Fortaleza de Minas,-20.8508,-46.712
1711,Fortaleza do Tabocão,-9.05611,-48.5206
1712,Fortaleza dos Nogueiras,-6.95983,-46.1749
1713,Fortaleza dos Valos,-28.7986,-53.2249
1714,Fortuna,-5.72792,-44.1565
1715,Fortuna de Minas,-19.5578,-44.4472
1716,Foz do Jordão,-25.7371,-52.1188
1717,Fraiburgo,-27.0233,-50.92
1718,Franca,-20.5352,-47.4039
1719,Francinópolis,-6.39334,-42.2591
1720,Francisco Alves,-24.0667,-53.8461
1721,Francisco Ayres,-6.626060000000002,-42.6881
1722,Francisco Badaró,-16.9883,-42.3568
1723,Francisco Beltrão,-26.0817,-53.0535
1724,Francisco Dantas,-6.0723400000000005,-38.1212
1725,Francisco Dumont,-17.3107,-44.2317
1726,Francisco Macedo,-7.331,-40.788
1727,Francisco Morato,-23.2792,-46.7448
1728,Francisco Sá,-16.4827,-43.4896
1729,Francisco Santos,-6.994910000000001,-41.1288
1730,Franciscópolis,-17.9578,-42.0094
1731,Franco da Rocha,-23.3229,-46.729
1732,Frecheirinha,-3.75557,-40.81800000000001
1733,Frederico Westphalen,-27.3586,-53.3958
1734,Frei Gaspar,-18.0709,-41.4325
1735,Frei Inocêncio,-18.5556,-41.9121
1736,Frei Lagonegro,-18.1751,-42.7617
1737,Frei Martinho,-6.39759,-36.4526
1738,Frei Miguelinho,-7.93918,-35.9113
1739,Frei Paulo,-10.5513,-37.5279
1740,Frei Rogério,-27.175,-50.8076
1741,Fronteira,-20.2748,-49.1984
1742,Fronteira dos Vales,-16.8898,-40.923
1743,Fronteiras,-7.08173,-40.6146
1744,Fruta de Leite,-16.1225,-42.5288
1745,Frutal,-20.0259,-48.9355
1746,Frutuoso Gomes,-6.15669,-37.8375
1747,Fundão,-19.937,-40.4078
1748,Funilândia,-19.3661,-44.06100000000001
1749,Gabriel Monteiro,-21.5294,-50.5573
1750,Gado Bravo,-7.582789999999998,-35.7899
1751,Gália,-22.2918,-49.5504
1752,Galiléia,-19.0005,-41.5387
1753,Galinhos,-5.0909,-36.2754
1754,Galvão,-26.4549,-52.6875
1755,Gameleira,-8.5798,-35.3846
1756,Gameleira de Goiás,-16.4854,-48.6454
1757,Gameleiras,-15.0829,-43.125
1758,Gandu,-13.7441,-39.4747
1759,Garanhuns,-8.882430000000003,-36.4966
1760,Gararu,-9.9722,-37.0869
1761,Garça,-22.2125,-49.6546
1762,Garopaba,-28.0275,-48.6192
1763,Garrafão do Norte,-1.92986,-47.0505
1764,Garruchos,-28.1944,-55.6383
1765,Garuva,-26.0292,-48.852
1766,Gastão Vidigal,-20.7948,-50.1912
1767,Gaúcha do Norte,-13.2443,-53.0809
1768,Gaurama,-27.5856,-52.0915
1769,Gavião,-11.4688,-39.7757
1770,Gavião Peixoto,-21.8367,-48.4957
1771,Geminiano,-7.1547600000000005,-41.3409
1772,General Câmara,-29.9032,-51.7612
1773,General Carneiro,-15.7094,-52.7574
1774,General Carneiro,-26.425,-51.3172
1775,General Maynard,-10.6835,-36.9838
1776,General Salgado,-20.6485,-50.364
1777,General Sampaio,-4.04351,-39.454
1778,Gentil,-28.4316,-52.0337
1779,Gentio do Ouro,-11.4342,-42.5077
1780,Getulina,-21.7961,-49.9312
1781,Getúlio Vargas,-27.8911,-52.2294
1782,Gilbués,-9.83001,-45.3423
1783,Girau do Ponciano,-9.88404,-36.8316
1784,Giruá,-28.0297,-54.3517
1785,Glaucilândia,-16.8481,-43.692
1786,Glicério,-21.3812,-50.2123
1787,Glória,-9.34382,-38.2544
1788,Glória D'Oeste,-15.768,-58.3108
1789,Glória de Dourados,-22.4136,-54.2335
1790,Glória do Goitá,-8.00568,-35.2904
1791,Glorinha,-29.8798,-50.7734
1792,Godofredo Viana,-1.40259,-45.7795
1793,Godoy Moreira,-24.173,-51.9246
1794,Goiabeira,-18.9807,-41.2235
1795,Goianá,-21.536,-43.1957
1796,Goianápolis,-16.5098,-49.0234
1797,Goiandira,-18.1352,-48.0875
1798,Goianésia do Pará,-3.84338,-49.0974
1799,Goianinha,-6.26486,-35.1943
1800,Goianira,-16.4947,-49.427
1801,Goianorte,-8.77413,-48.9313
1802,Goiás,-15.9333,-50.14
1803,Goiatins,-7.71478,-47.3252
1804,Goiatuba,-18.0105,-49.3658
1805,Goioerê,-24.1835,-53.0248
1806,Goioxim,-25.1927,-51.9911
1807,Gonçalves,-22.6545,-45.8556
1808,Gonçalves Dias,-5.1475,-44.3013
1809,Gongogi,-14.3195,-39.469
1810,Gonzaga,-18.8196,-42.4769
1811,Gouveia,-18.4519,-43.7423
1812,Gouvelândia,-18.6238,-50.0805
1813,Governador Archer,-5.02078,-44.2754
1814,Governador Celso Ramos,-27.3172,-48.5576
1815,Governador Dix-Sept Rosado,-5.4488699999999985,-37.5183
1816,Governador Edison Lobão,-5.7497300000000005,-47.3646
1817,Governador Eugênio Barros,-5.318969999999998,-44.2469
1818,Governador Jorge Teixeira,-10.61,-62.7371
1819,Governador Lindenberg,-19.1864,-40.4473
1820,Governador Luiz Rocha,-5.47835,-44.0774
1821,Governador Mangabeira,-12.5994,-39.0412
1822,Governador Newton Bello,-3.43245,-45.6619
1823,Governador Nunes Freire,-2.12899,-45.8777
1824,Graça,-4.04422,-40.749
1825,Graça Aranha,-5.405469999999998,-44.3358
1826,Gracho Cardoso,-10.2252,-37.2006
1827,Grajaú,-5.81367,-46.1462
1828,Gramado,-29.3734,-50.8762
1829,Gramado dos Loureiros,-27.4429,-52.9149
1830,Gramado Xavier,-29.2706,-52.5795
1831,Grandes Rios,-24.1466,-51.5094
1832,Granito,-7.707110000000001,-39.615
1833,Granja,-3.12788,-40.8372
1834,Granjeiro,-6.88134,-39.2144
1835,Grão Mogol,-16.5662,-42.8923
1836,Grão Pará,-28.1809,-49.2252
1837,Gravatá,-8.21118,-35.5675
1838,Groaíras,-3.91787,-40.3852
1839,Grossos,-4.98068,-37.1621
1840,Grupiara,-18.5003,-47.7318
1841,Guabiju,-28.5421,-51.6948
1842,Guabiruba,-27.0808,-48.9804
1843,Guaçuí,-20.7668,-41.6734
1844,Guadalupe,-6.78285,-43.5594
1845,Guaíba,-30.1086,-51.3233
1846,Guaiçara,-21.6195,-49.8013
1847,Guaimbê,-21.9091,-49.8986
1848,Guairaçá,-22.932,-52.6906
1849,Guaiúba,-4.04057,-38.6404
1850,Guajará,-7.53797,-72.5907
1851,Guajará-Mirim,-10.7889,-65.3296
1852,Guajeru,-14.5467,-41.9381
1853,Guamaré,-5.10619,-36.3222
1854,Guamiranga,-25.1912,-50.8021
1855,Guanambi,-14.2231,-42.7799
1856,Guanhães,-18.7713,-42.9312
1857,Guapé,-20.7631,-45.9152
1858,Guapiaçu,-20.7959,-49.2172
1859,Guapiara,-24.1892,-48.5295
1860,Guapirama,-23.5203,-50.0407
1861,Guapó,-16.8297,-49.5345
1862,Guaporé,-28.8399,-51.8895
1863,Guaporema,-23.3402,-52.7786
1864,Guará,-20.4302,-47.8236
1865,Guarabira,-6.8506399999999985,-35.485
1866,Guaraçaí,-21.0292,-51.2119
1867,Guaraci,-20.4977,-48.9391
1868,Guaraci,-22.9694,-51.6504
1869,Guaraciaba,-20.5716,-43.0094
1870,Guaraciaba,-26.6042,-53.5243
1871,Guaraciaba do Norte,-4.15814,-40.7476
1872,Guaraciama,-17.0142,-43.6675
1873,Guaraí,-8.83543,-48.5114
1874,Guaraíta,-15.6121,-50.0265
1875,Guaramiranga,-4.26248,-38.932
1876,Guaramirim,-26.4688,-49.0026
1877,Guaranésia,-21.3009,-46.7964
1878,Guarani,-21.3563,-43.0328
1879,Guarani d'Oeste,-20.0746,-50.3411
1880,Guarani das Missões,-28.1491,-54.5629
1881,Guarani de Goiás,-13.9421,-46.4868
1882,Guaraniaçu,-25.0968,-52.8755
1883,Guarantã,-21.8942,-49.5914
1884,Guarantã do Norte,-9.96218,-54.9121
1885,Guarapari,-20.6772,-40.5093
1886,Guaraqueçaba,-25.3071,-48.3204
1887,Guarará,-21.7304,-43.0334
1888,Guararapes,-21.2544,-50.6453
1889,Guararema,-23.4112,-46.0369
1890,Guaratinga,-16.5833,-39.7847
1891,Guaratinguetá,-22.8075,-45.1938
1892,Guaratuba,-25.8817,-48.5752
1893,Guarda-Mor,-17.7673,-47.0998
1894,Guareí,-23.3714,-48.1837
1895,Guariba,-21.3594,-48.2316
1896,Guaribas,-9.38647,-43.6943
1897,Guarinos,-14.7292,-49.7006
1898,Guarujá,-23.9888,-46.258
1899,Guarujá do Sul,-26.3858,-53.5296
1900,Guatambú,-27.1341,-52.7887
1901,Guatapará,-21.4944,-48.0356
1902,Guaxupé,-21.305,-46.7081
1903,Guia Lopes da Laguna,-21.4583,-56.1117
1904,Guidoval,-21.155,-42.7887
1905,Guimarães,-2.12755,-44.602
1906,Guiratinga,-16.346,-53.7575
1907,Guiricema,-21.0098,-42.7207
1908,Gurinhatã,-19.2143,-49.7876
1909,Gurinhém,-7.1233,-35.4222
